Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
,AB Aviation,Economy Class,Nov-19,11th November 2019,0,4,4,Netherlands,9,yes,"Moroni to Moheli. Turned out to be a pretty decent airline. Online booking worked well, checkin and boarding was fine and the plane looked well maintained. Its a very short flight - just 20 minutes or so so i didn't expect much but they still managed to hand our a bottle of water and some biscuits which i though was very nice. Both flights on time.",Moroni to Moheli,4,5,ab-aviation,pretty decent airline,Solo Leisure,Trip Verified,3,0,d3b260fb-268b-4399-8a9b-2804825902c6
E120,AB Aviation,Economy Class,Jun-19,25th June 2019,0,1,1,UnitedKingdom,1,no,"Moroni to Anjouan. It is a very small airline. My ticket advised me to turn up at 0800hrs which I did. There was confusion at this small airport. I was then directed to the office of AB Aviation which was still closed. It opened at 0900hrs and I was told that the flight had been put back to 1300hrs and that they had tried to contact me. This could not be true as they did not have my phone number. I was with a local guide and he had not been informed either. I presume that I was bumped off. The later flight did operate but as usual, there was confusion at check-in. The flight was only 30mins and there were no further problems. Not a good airline but it is the only one for Comoros.",Moroni to Anjouan,2,2,ab-aviation,Not a good airline,Solo Leisure,Trip Verified,2,0,307711df-268f-4698-97b8-45729b7d972e
Embraer E120 ,AB Aviation,Economy Class,Jun-19,25th June 2019,0,1,1,UnitedKingdom,1,no,"Anjouan to Dzaoudzi. A very small airline and the only airline based in Comoros. Check-in was disorganised because of locals with big packages and disinterested staff. The flight was fortunately short (30 mins). Took off on time and landed on time. With a short flight like there was of course no in-flight entertainment nor cabin service except for biscuits and a bottle of water, which was quite nice!",Anjouan to Dzaoudzi,2,1,ab-aviation,flight was fortunately short,Solo Leisure,Trip Verified,2,0,82bd2602-171d-4724-bde0-90b71621cdcf
,Aerocaribbean,Economy Class,,31st December 2010,0,0,0,Denmark,8,yes,Havana - Cayo Coco return. A one hour flight with an old ATR42 turboprop. Seats surprisingly comfortable and we were offered a free drink plus candy onboard. Nothing special but we arrived on time.,,0,0,aerocaribbean,Aerocaribbean customer review,,,4,0,a927beb4-6244-4f5c-9dc3-09890aa3e616
,Aerocaribbean,,,25th November 2010,0,0,0,UnitedKingdom,1,no,Holguin to Havana last week. Okay apart from issuing duplicate boarding cards to different passengers. Return was in a turbo prop plane which was 1 hour late and was infested by cockroaches running along the floor overhead lockers and electrical ducts. The plane was generally dirty. Obvious lack of maintenance.,,0,0,aerocaribbean,Aerocaribbean customer review,,,0,0,d7bea425-c58a-4a7e-8269-02e0e6516633
,Aerocaribbean,,,10th April 2008,0,0,0,,1,no,What a wonderful friendly airline. Flew with them Hholguin to Havana and back. Both flights only minor delays was served juice and a cake on this short internal flight safety demonstration was done.,,0,0,aerocaribbean,Aerocaribbean customer review,,,0,0,3341cef2-234f-4f94-9309-047e56b5d996
,AeroItalia,Economy Class,Apr-23,3rd April 2023,0,1,1,Italy,2,no,Only 1 check-in desk open for a full plane and impossible to check in online. Amazingly bad! Flight crew is friendly. Pilot flying into Milano on April 1st did a very bad landing.,Milano to Olbia,1,3,aeroitalia,impossible to check in online,Business,Trip Verified,1,0,e53686a7-0729-4f27-b653-b0cd8f69c638
Dornier,Aero VIP,Economy Class,Apr-19,3rd May 2019,0,0,5,Portugal,9,yes,"Cascais to Bragança with Aero VIP. Services are provided by SevenAir. The site is easy. I had a couple of questions and the support was fantastic. The plane was just fine, despite being a propeller, thus a bit noisy.",Cascais to Bragança,4,4,aero-vip,the support was fantastic,Solo Leisure,Trip Verified,4,0,f319f248-8cb2-4289-9299-f5d1ee1a305e
Dornier,Aero VIP,Economy Class,Apr-19,3rd May 2019,0,0,5,Portugal,9,yes,"Bragança to Cascais with Aero VIP. Seven Air provides the services. The pilot was very nice and made sure everyone was comfortable and explained there would be some turbulence, which was normal. Flight arrived 5 minutes late.",Bragança to Cascais,4,5,aero-vip,pilot was very nice,Solo Leisure,Trip Verified,4,0,f9cb0a43-8b38-43de-9d73-63180128ece0
BAe Jetstream,Aero VIP,Economy Class,Jul-17,17th July 2017,0,0,3,Italy,8,yes,"Funchal to Porto Santo. This 10-minutes flight is a true experience. Aero Vip carries out the public service obligation connection between Funchal and the smaller Porto Santo airport located on the island with the same name. The outbound flight was on a vintage (1989) Jetstream 32 turboprop airliner with the return flight being on a slightly older (1987) Jetstream 31. In both cases the safety briefing was carried out by the first officer himself, as the plane does not have any FA on board. The outbound flight left right on time and touched down in PXO just 10/15 minutes later. The plane on the way back arrived late and we left PXO with some 30 minutes of delay, again reaching our destination in slight over 10 minutes. The planes’ interiors are quite worn out but overall the planes gave me the impression of being in a good mechanical shape. If you take this flight to reach the beaches in Porto Santo, as was my case, the whole flight is a really fun and unique retro-experience for aviation enthusiasts which unfortunately comes with a hefty price tag (150 EUR return). It needs to be said however, that the rates are much cheaper for residents who need this flight as a means to ensure territorial continuity.",Funchal to Porto Santo,4,2,aero-vip,fun and unique retro-experience,Couple Leisure,,3,0,24bb01e8-eb6a-4e77-a38f-d7a53e48d220
,Adria Airways,Economy Class,Sep-19,28th September 2019,0,0,1,Serbia,1,no,"Please do a favor yourself and do not fly with Adria. On the route from Munich to Pristina in July 2019 they lost my luggage and for 10 days in a row, despite numerous phone calls they were not able to locate it. 11 days later the luggage arrived at the destination completely ruined. Applying for compensation, they ignored my request. Foolishly again, I booked another flight with them (345 euros) Frankfurt - Pristina in September 2019. They cancelled the flight with no reason 24 hours before the departure. Desperate phone calls to customer service to get anything (rerouting, compensation, etc) were not responded. I will never fly again with Adria. What a disgrace! Shame on you Adria for constantly deceiving your customers.",Frankfurt to Pristina,1,1,adria-airways,I will never fly again with Adria,Solo Leisure,Not Verified,1,0,7ebaf366-534d-4e4c-a777-ed0fffaf0ff2
,Adria Airways,Economy Class,Sep-19,24th September 2019,1,1,1,Netherlands,1,no,"Do not book a flight with this airline! My friend and I should have returned from Sofia to Amsterdam on September 22 and 3 days before, they sent us an SMS informing the flight was cancelled. For 3 straight days we tried to reach the airline and the web agent (e-dreams) and we did not get a solution. Finally, 18 hours before our cancelled flight time, and after 35 minutes on a call (waiting), the airline was able to get us on a flight with Lufthansa. Do not book Adria Airways, it is unreliable and in our case, it ruined our last days of holidays since we needed to be on the phones all day.",Sofia to Amsterdam via Ljubljana,1,1,adria-airways,it ruined our last days of holidays,Couple Leisure,Trip Verified,1,1,3b0bd1a8-be73-4587-8b5f-1efd4c30093f
CR 900,Adria Airways,Economy Class,Sep-19,17th September 2019,1,1,1,Austria,1,no,Had very bad experience with rerouted and cancelled flights last weekend with Adria airways. Original Route was Ljubljana to Sarajevo return. Two weeks before i received an email that the flight was cancelled. Offered route change was Ljubljana to Sarajevo via Munich. Flight back changed to Sarajevo-Pristina-Ljubljana. I accepted. The first flight via Munich was ok. Two hours before the return flight I got the email that the flight was cancelled. I had to rebook via hotline and had to accept a flight with Croatian to Zagreb. I reached Ljubljana 4 h later and had to organize Transport from Zagreb to Ljubljana on my own cost. Do not book flights with Adria airways. I heard that their financial situation is very very bad.,Sarajevo to Ljubljana,1,1,adria-airways,Had very bad experience,Couple Leisure,Trip Verified,1,1,a6507194-7c24-4e58-81e7-22e4345c753a
,Adria Airways,Economy Class,Sep-19,6th September 2019,0,1,1,Switzerland,1,no,"Ljubljana to Zürich. Firstly, Ljubljana airport is terrible. Badly trained staff, unfriendly. Toilets are very dirty. Flight 2 hours delayed without any information. There is no Information desk so questions aren‘t possible. Never again will use this airline. Its even worse than the budget airlines and thats difficult.",Ljubljana to Zürich,1,1,adria-airways,worse than the budget airlines,Business,Not Verified,1,0,ef436218-9796-4445-b0f8-4ed4860cf3d0
Bombardier CRJ,Adria Airways,Economy Class,Aug-19,24th August 2019,1,1,1,Germany,1,no,"First of all, I am not complaining about a specific flight. I am a Lufthansa frequent Flyer and I normally fly the route Munich - Timisoara. This summer season Lufthansa offered the flights on this route to Adria Airways, as they are a star alliance member. I can only tell that I have the worst experiences with them. In over 90% of the cases they are late, they don't fly on time. Always they offer the same excuse: they have no slot free. This is an unacceptable excuse, as all other companies flying on similar coridors seem not to have this problem. In addition, as LH Cityline was operating these flights I have almost never heard this excuse, or had this problem. I am flying on this route for 6 years already. They started also to cancel some flights. Maybe combine 2 flights into 1 to spare some money, who knows. The cabin crew is decent - not wow, not bad - but there also also situations when the staff are really rude and not customer oriented. I would recommend anyone to fly with this company. If you have the chance, book another company!",Timisoara to Munich,1,1,adria-airways,book another company,Solo Leisure,Not Verified,1,1,124c1116-9a35-48aa-85f4-a24a33cd2398
,Adria Airways,Economy Class,Aug-19,6th August 2019,1,1,1,Switzerland,1,no,Worst Airline ever! They combined two flights to save costs. Instead of flying Pristina - Ljubliana - Zürich we now fly Pristina - Ljubliana - München - Zürich. Now we arrive 2.5h later at our destination.,Pristina to Zürich via Ljubliana,1,2,adria-airways,combined two flights,Solo Leisure,Trip Verified,1,1,53511637-1db7-4d07-bdf1-ca2a6e026816
,Adria Airways,Economy Class,Oct-18,12th October 2018,0,3,5,Germany,8,yes,"Ljubljana to Munich. The homebase airport of Adria Airways is Ljubljana and it very small, relaxing and convenient. It is surrounded by the Alps and the departure was fantastic. The airplane was modern and the crew was nice. Ontime departure. Drinks without alcohol were free and I paid 4€ for my white wine. Considering that I had a cheap ticket I cannot complain. Upgrades would have been available for 30€ - which includes the lounge.",Ljubljana to Munich,4,4,adria-airways,the crew was nice,Family Leisure,Trip Verified,5,0,c9262278-0f62-4c35-a669-59f1a445171c
,Adria Airways,Economy Class,Oct-18,5th October 2018,1,0,1,Germany,1,no,Zurich to Ljubljana. Very poor customer service. Flight was cancelled without sending any email confirmation. The flight I was rebooked seemed to be overbooked at the beginning (which was not true)and we had to wait 30 min to have our ticket changed. Very bad experience overall.,Zurich to Ljubljana,2,1,adria-airways,Very bad experience overall,Business,Not Verified,1,1,8a5e5367-0a0f-4fe4-ad82-426440a49d43
,Adria Airways,Economy Class,Jul-18,29th July 2018,0,1,4,UnitedStates,1,no,"Vienna to Sofia. The flight was delayed by 2 hours. The cabin crew was annoyed that they had to offer drinks to the passengers and passing by announced they would only give one drink per customer. And coffee was a nuisance and they made it clear, even though it was on their cart. The questions would normally go ""would you drink anything?"" and not ""what would you like to drink?"". Very bad customer service.",Vienna to Sofia,4,1,adria-airways,bad customer service,Family Leisure,Trip Verified,1,0,063a61c2-5348-4e6d-b6c5-ddd7c436aadb
,Adria Airways,Economy Class,May-18,19th July 2018,0,0,3,France,2,no,"We were traveling from Paris to Skopje on May 4th, via Ljubljana. Our flight from Ljubljana to Skopje, was canceled 10 days before our departure for no reason, leaving us in the middle of our connection at Ljubljana. Even if the company booked a hotel for us and made sure we could take a flight the next day, it prevented us from enjoying one more day in Macedonia. The company had agreed to reimburse the hostel night we had already paid but more than two months after our claim we still have no reply from the company. I e-mailed the company two times, called them on multiple occasion. The company said I would be reimbursed after 2 months. 2 months later, I still have not received anything. The experience with Adria Airways was overall very poor : - flight canceled for no reason - 2 out of 4 of the flights we took were delayed - terrible customer service, unable to give any answer to our online claim and not reimbursing the hostel night we had already paid",Paris to Skopje via Ljubljana,3,3,adria-airways,overall very poor,Solo Leisure,Trip Verified,2,0,685d73b6-5617-40ff-af2d-525532ca0b5f
,Adria Airways,Economy Class,Jun-18,30th June 2018,0,2,2,Slovenia,2,no,"Ljubljana to Munich. Adria's checkin system is obviously barely coping. It wasn't possible to obtain an electronic boarding pass (iphone wallet version) from Adria's site. The option was there but it failed without any further explanation. Further more I was not able to checkin to return flight online - neither through Adria nor Lufthansa web site. In the end I made it via Lufthansa mobile app. Go figure. Both issues were reported to customer care and both were ignored. I experienced the same customer care ""policy"" couple of years ago when my inquiry with customer support was basically ignored. Flight was actually operated by a Romanian company Carpatair. The cabin was outdated and dirty with a funny smell lingering around. The latter stuck to my clothes for the day - not that great if you are meeting a client. Cabin crew was also quite disorganised and mixed up orders of all passengers sitting around me. Would not fly again. Unfortunately they are the only company offering a direct flight from LJU to MUC.",Ljubljana to Munich,1,2,adria-airways,Would not fly again,Business,Trip Verified,1,0,ed964355-5eb1-4d9f-8bf2-0841b1447a3a
A319,Adria Airways,Economy Class,Jun-18,24th June 2018,0,0,1,CzechRepublic,3,no,"A very unpleasant experience for my family. We bought two return flights (Ljubljana-Prague-Ljubljana, Ljubljana-Warsaw-Ljubljana), and several days before departure both direct flights from and to Prague were canceled and a flight to Warsaw was merged with Prague flight (so added necessary stopover). Instead of a direct flight to Prague Adria Airways finally offered a transfer via Munich. When we arrived at the airport (21/6/2018), we found that the flight to Munich had more than an hour of delay, and therefore it was not possible to catch the next flight from Munich to Prague. The flight to Munich was full of people from the original canceled flight to Prague, who subsequently wanted to continue to Prague. Although the Adria Airways staff were present at the airport, no one came to inform the passengers and the result was tremendous confusion and lack of information. Ljubljana airport servicing staff finally informed us that Adria Airways staff refused to come! Also wasn't possible to call the Adria Airways hotline. Maybe it had been overloaded due to the number of disgruntled passengers because the next gate was full of people waiting for a delayed flight to Vienna, where there also wasn't anybody from Adria Airways who could provide any information. Unfortunately this flight left without us and we were all forced to ride from the Munich airport to a more than 30 km distant hotel and the next morning at 6am again back. Permanent cancellation of flights and subsequent ignorance of passengers are surely a way to reduce operating costs, but in the long-term this will cause the outflow of passengers to other airports around Slovenia, especially to Graz and to Zagreb.",Ljubljana to Prague,3,3,adria-airways,very unpleasant experience,Couple Leisure,Trip Verified,1,0,89505499-a714-4b93-8689-0095d4dac835
,Adria Airways,Economy Class,Apr-18,4th May 2018,0,5,5,Slovenia,10,yes,"Frankfurt to Ljubljana. Flight was very comfortable, professional crew. The monitors above passengers provide informations about flight (speed, altitude, temperature, time to landing, etc.)",Frankfurt to Ljubljana,5,5,adria-airways,Flight was very comfortable,Business,Trip Verified,5,0,5c69607b-f92f-4299-ac6b-468d47805fd5
,Adria Airways,Economy Class,Mar-18,11th March 2018,1,1,1,Germany,1,no,"Ljubljana to Frankfurt. Flight delayed for more than 2 hours due to technical problems. We were not given any food or water and when I requested some I was told to complain to Adria Airways website. Another plane was organized, more than 2 hrs later. The staff was trying to convince the passengers that their connection to Singapore will wait (they had 15 min in between the new flight arrival time and departure!), and that the flight to Frankfurt is 1 hr - and no wifi connectivity on flight!",Ljubljana to Frankfurt,2,1,adria-airways,delayed for more than 2 hours,Solo Leisure,Trip Verified,1,1,bf8b8e6c-c249-46ed-bda5-47358d527a39
